method,poses_saved,tracking_coverage_percent,duration_s,mean_dt_s,median_dt_s,approx_frequency_hz,path_length_m,start_end_drift_m,end_pose_error_to_ORB_m,mean_step_m,std_step_m,max_step_m,median_step_m
VO,5677,99.21356169171618,287.65907740592957,0.050679893834730365,0.05000185966491699,19.999256161699,3599.427304746788,30.296222588467707,30.483306101425406,0.6341485737749804,0.39568056927935713,5.199981734098783,0.5203267338352333
VIO,5677,99.21356169171618,287.65907740592957,0.050679893834730365,0.05000185966491699,19.999256161699,526.6942762821657,5.821353182149834,6.081200942513195,0.09279321287564582,0.01643890063716856,0.2790630295022972,0.09361708750421513
ORB-SLAM3,5677,99.21356169171618,283808868864.0,50001562.52008457,50001920.0,1.9999232029490068e-08,300.71602495719276,1.0636538797899107,0.0,0.052980272191189705,0.014061055048049035,0.10135476483283275,0.05534248486254928
