method,poses_saved,tracking_coverage_percent,duration_s,mean_dt_s,median_dt_s,approx_frequency_hz,path_length_m,start_end_drift_m,end_pose_error_to_ORB_m,mean_step_m,std_step_m,max_step_m,median_step_m
VO,17690,99.72377247871921,887.3278691768646,0.0501626925873065,0.05000185966491699,19.999256161699,9983.809109443078,476.82522301403543,572.1954969410276,0.5644077737262184,0.36165681231594293,13.570582669045166,0.501845780626869
VIO,17690,99.72377247871921,887.3278691768646,0.0501626925873065,0.05000185966491699,19.999256161699,3018.47744460121,166.88882765231398,265.6038986312452,0.17064149723563854,0.04000627682387775,1.0957362550842105,0.17155690031590107
ORB-SLAM3,17690,99.72377247871921,884477367808.0,50001547.165357,50001920.0,1.9999232029490068e-08,1253.1040251004222,108.68205254969733,0.0,0.07084086297136198,0.193033568381161,17.890353048856916,0.06337309185151174
