method,alignment,associated_poses,scale,ATE_RMSE_m,ATE_mean_m,ATE_median_m,ATE_max_m,RPE_trans_RMSE_m,RPE_trans_mean_m,RPE_trans_median_m,RPE_rot_RMSE_deg,RPE_rot_mean_deg,RPE_rot_median_deg,start_end_drift_m,start_end_drift_percent
VO,sim3,2537,0.06358097406454381,0.8391978453822994,0.7642703466323763,0.6818026922428275,1.7817149125383398,0.4965114995191723,0.45711366799384145,0.4524926511376266,77.43295462933544,69.10236509725682,67.02021718001647,2.5189669153171956,350.6728286239028
VIO,se3,2537,1.0,0.8832410320849612,0.7302945736979949,0.5259651082695866,2.210016202708338,0.3530618963977203,0.3148973053295077,0.2826924961514584,77.43295462900672,69.10236509712801,67.02021718001656,3.1415770069400906,437.34821948813527
