Method,Poses,PathLength,StartEndDisplacement,MeanStep,MedianStep,MaxStep,TrackingContinuity,TrackingFailures
VO axis-fixed no Sim3,5677,3599.427304746788,30.296222588467707,0.6341485737749804,0.5203267338352333,5.199981734098784,0.9975334742776604,14
VIO axis-fixed no Sim3,5677,526.6942762821657,5.821353182149835,0.09279321287564582,0.09361708750421513,0.2790630295022972,1.0,0
ORB-SLAM3 no Sim3,5677,300.71602495719276,1.0636538797899107,0.052980272191189705,0.05534248486254928,0.10135476483283275,1.0,0
